Rank;Previous Rank;First Appearance;First Rank;Name;Computer;Site;Manufacturer;Country;Year;Segment;Total Cores;Accelerator/Co-Processor Cores;Rmax [TFlop/s];Rpeak [TFlop/s];Nmax;Nhalf;HPCG [TFlop/s];Power (kW);Power Source;Power Efficiency [GFlops/Watts];Memory;Architecture;Processor;Processor Technology;Processor Speed (MHz);Operating System;OS Family;Accelerator/Co-Processor;Cores per Socket;Processor Generation;System Model;System Family;Interconnect Family;Interconnect;Continent;Site ID;System ID
113;82;51;53;Niagara;ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100;SciNet/University of Toronto/Compute Canada;Lenovo;Canada;2017;Research;80 640;;3 599,66;6 253,06;3 276 672;;;919,42;Submitted;3,92;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;CentOS;Linux;None;20;Xeon Gold;ThinkSystem SD530;Lenovo ThinkSystem;Infiniband;4xEDR Infiniband;North America;50 206;179408
114;83;44;11;;Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40;Government;Cray/HPE;United States;2014;Government;72 800;62 400;3 577,00;6 131,84;2 336 000;;;1 498,90;Submitted;2,39;;Cluster;Xeon E5-2660v2 10C 2.2GHz;Intel IvyBridge;2 200;Linux;Linux;NVIDIA Tesla K40;10;Intel Xeon E5 (IvyBridge);Cray CS-Storm;Cray CS-Storm;Infiniband;Infiniband FDR;North America;50 046;178445
115;84;45;15;;Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40;Government;Cray/HPE;United States;2015;Government;72 800;62 400;3 577,00;6 131,84;2 336 000;;;1 498,90;Submitted;2,39;;Cluster;Xeon E5-2660v2 10C 2.2GHz;Intel IvyBridge;2 200;Linux;Linux;NVIDIA Tesla K40;10;Intel Xeon E5 (IvyBridge);Cray CS-Storm;Cray CS-Storm;Infiniband;Infiniband FDR;North America;50 046;178519
116;85;56;85;Altair;CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR;PCSS Poznan;Huawei;Poland;2020;Academic;63 360;;3 533,61;5 879,81;5 216 256;;;829,00;Submitted;4,26;;Cluster;Xeon Platinum 8268 24C 2.9GHz;Intel Cascade lake;2 900;CentOS;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);CH121L V5 Liquid-Cooled;Huawei Cluster;Infiniband;Infiniband EDR;Europe;50 183;179903
117;86;56;86;Unizah-II;Cray CS500, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet;Saudi Aramco;HPE;Saudi Arabia;2020;Industry;85 560;;3 487,91;6 844,80;9 471 744;;;;;;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;RHEL 7.7;Linux;None;20;Xeon Gold 62xx (Cascade Lake);Cray CS500;Cray CS;Gigabit Ethernet;10G Ethernet;Asia;48 751;179884
118;87;56;87;Ohtaka;PowerEdge C6525, AMD EPYC 7702 64C 2GHz, Mellanox HDR Infiniband;The Institute for Solid State Physics, The University of Tokyo;Dell EMC;Japan;2020;Research;215 040;;3 486,10;6 881,28;5 811 840;;;;;;;Cluster;AMD EPYC 7702 64C 2GHz;AMD Zen-2 (Rome);2 000;Red Hat Enterprise Linux;Linux;None;64;AMD Rome;PowerEdge C6525;Dell PowerEdge Cluster;Infiniband;Mellanox HDR Infiniband;Asia;50 562;179882
119;88;56;88;davinci-1;BullSequana X, AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR Infiniband;Leonardo SpA;Atos;Italy;2020;Others;38 400;34 560;3 449,00;6 412,03;1 290 240;;108,67;;;;;Cluster;AMD EPYC 7402 24C 2.8GHz;AMD Zen-2 (Rome);2 800;Linux;Linux;NVIDIA A100;24;AMD Rome;BullSequana X;BullSequana;Infiniband;Mellanox HDR Infiniband;Europe;50 840;179877
120;89;55;74;Cedar (GPU);PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path;Simon Fraser University/Compute Canada;ACTION;Canada;2020;Academic;67 584;61 440;3 371,00;5 834,40;1 780 800;;;310,00;Submitted;10,87;;Cluster;Xeon Silver 4216 16C 2.1GHz;Intel Skylake;2 100;CentOS;Linux;NVIDIA Tesla V100;16;Xeon Silver;PowerEdge C6420;Dell PowerEdge Cluster;Omnipath;Intel Omni-Path;North America;50 722;179859
121;90;45;16;Topaz;SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR;ERDC DSRC;HPE;United States;2015;Research;124 200;;3 318,95;4 570,56;5 779 200;;;5 175,00;Submitted;0,64;;Cluster;Xeon E5-2699v3 18C 2.3GHz;Intel Haswell;2 300;SUSE Linux Enterprise Server 11;Linux;None;18;Intel Xeon E5 (Haswell);SGI ICE X;SGI ICE;Infiniband;Infiniband FDR;North America;47 771;178523
122;91;49;32;;NVIDIA DGX-1/Relion 2904GT, Xeon E5-2698v4 20C 2.2GHz/ E5-2650v4, Infiniband EDR, NVIDIA Tesla P100/Quadro GP100;Facebook;Self-made;United States;2017;Industry;60 512;55 552;3 307,00;4 896,51;1 419 545;;;349,50;Submitted;9,46;;Cluster;Xeon E5-2698v4 20C 2.2GHz;Intel Broadwell;2 200;Ubuntu;Linux;NVIDIA Tesla P100;20;Intel Xeon E5 (Broadwell);NVIDIA DGX-1/Relion 2904GT;Hybrid Cluster;Infiniband;Infiniband EDR;North America;50 701;179068
123;92;48;29;DGX Saturn V;NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100;NVIDIA Corporation;Nvidia;United States;2016;Vendor;60 512;55 552;3 307,00;4 896,51;1 419 552;;67,42;349,50;Submitted;9,46;;Cluster;Xeon E5-2698v4 20C 2.2GHz;Intel Broadwell;2 200;Ubuntu 14.04;Linux;NVIDIA Tesla P100;20;Intel Xeon E5 (Broadwell);NVIDIA DGX-1;NVIDIA DGX;Infiniband;Infiniband EDR;North America;48 448;178928
124;;57;124;;SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Mellanox InfiniBand HDR100;Deutscher Wetterdienst;NEC;Germany;2020;Research;14 336;;3 250,40;4 282,08;3 073 770;;203,00;565,08;Submitted;5,75;;Cluster;Vector Engine Type10AE 8C 1.58GHz;NEC Vector Engine;1 584;VEOS;Linux;None;8;Vector Engine;SX-Aurora TSUBASA A412-8;SX-Aurora TSUBASA;Infiniband;Mellanox InfiniBand HDR100;Europe;47 712;179973
125;93;51;47;Damson;Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR;AWE;Atos;United Kingdom;2017;Research;113 832;;3 243,41;3 791,58;5 543 424;;;1 134,00;Submitted;2,86;;Cluster;Xeon E5-2697v4 18C 2.3GHz;Intel Broadwell;2 300;bullx SCS;Linux;None;18;Intel Xeon E5 (Broadwell);BullSequana X1000;BullSequana;Infiniband;Infiniband EDR;Europe;47 363;179409
126;94;54;69;LLNL/NNSA CTS-1 MAGMA;Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path;Lawrence Livermore National Laboratory;Penguin Computing;United States;2019;Research;62 400;;3 241,24;4 592,64;5 177 088;;;887,00;Submitted;3,65;;Cluster;Intel Xeon Platinum 9242 48C 2.3GHz;Intel Cascade lake;2 300;Linux/TOSS;Linux;None;48;Xeon Platinum 92xx (Cascade Lake);Relion Cluster;Penguin Computing Cluster;Omnipath;Intel Omni-Path;North America;48 247;179774
127;95;51;48;Mustang;HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path;Air Force Research Laboratory;HPE;United States;2018;Government;55 296;;3 221,40;4 777,57;4 866 048;;;;;;;Cluster;Xeon Platinum 8168 24C 2.7GHz;Intel Skylake;2 700;Red Hat Enterprise Linux;Linux;None;24;Xeon Platinum;HPE SGI 8600;HPE SGI 8600;Omnipath;Intel Omni-Path;North America;49 284;179426
128;96;43;12;HPC2;iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x;Eni S.p.A.;IBM;Italy;2014;Industry;72 000;42 000;3 188,00;4 605,00;3 978 240;;48,90;1 227,00;Submitted;2,60;;Cluster;Intel Xeon E5-2680v2  10C 2.8GHz;Intel IvyBridge;2 800;Linux;Linux;NVIDIA Tesla K20x;10;Intel Xeon E5 (IvyBridge);iDataPlex DX360M4;IBM iDataPlex;Infiniband;Infiniband FDR;Europe;50 489;178425
129;97;53;142;Fênix;Bull 4029GP-TVRT, Xeon Gold 5122 4C 3.6GHz, NVIDIA Tesla V100, Infiniband EDR;Petróleo Brasileiro S.A;Atos;Brazil;2019;Industry;60 480;57 600;3 161,00;5 371,78;1 677 312;;;389,76;Submitted;8,11;;Cluster;Xeon Gold 5122 4C 3.6GHz;Intel Skylake;3 600;CentOS;Linux;NVIDIA Tesla V100;4;Xeon Gold;Bull 4029GP-TVRT;Bull Cluster;Infiniband;Infiniband EDR;South America;49 587;179681
130;98;56;98;Toubkal;PowerEdge C6420, CRC-StackHPC, Xeon Platnium 8276L 28C 2.2GHz, Mellanox InfiniBand HDR100;Mohammed VI Polytechnic University - African Supercomputing Centre;Dell EMC;Morocco;2020;Academic;71 232;;3 158,11;5 014,73;4 475 520;2 500 000;;;;;;Cluster;Xeon Platnium 8276L 28C 2.2GHz;Intel Cascade lake;2 200;CentOS Scientific-OpenStack;Linux;None;28;Xeon Platinum 82xx (Cascade Lake);PowerEdge C6420;Dell PowerEdge Cluster;Infiniband;Mellanox InfiniBand HDR100;Africa;50 853;179908
131;100;55;92;Lichtenberg II (Phase 1);MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100;Technische Universitaet Darmstadt;MEGWARE;Germany;2020;Academic;59 136;;3 148,38;4 352,41;5 102 208;;;690,00;Submitted;4,56;;Cluster;Intel Xeon Platinum 9242 48C 2.3GHz;Intel Cascade lake;2 300;CentOS;Linux;None;48;Xeon Platinum 92xx (Cascade Lake);MEGWARE MiriQuid;MEGWARE Cluster;Infiniband;Mellanox InfiniBand HDR100;Europe;49 078;179857
132;101;43;11;;Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ;Government;Cray/HPE;United States;2014;Government;225 984;;3 143,52;4 881,25;2 541 684;;;6 327,55;Submitted;0,50;;MPP;Intel Xeon E5-2697v2 12C 2.7GHz;Intel IvyBridge;2 700;Cray Linux Environment ;Linux;None;12;Intel Xeon E5 (IvyBridge);Cray XC30;Cray XC;Custom Interconnect;Aries interconnect ;North America;50 046;178432
133;102;45;19;Thunder;SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P;Air Force Research Laboratory;HPE;United States;2015;Government;152 692;27 056;3 126,24;5 610,48;5 572 800;;;4 819,50;Submitted;0,65;;Cluster;Xeon E5-2699v3 18C 2.3GHz;Intel Haswell;2 300;SUSE Linux Enterprise Server 11;Linux;NVIDIA Tesla K40/Intel Xeon Phi 7120P;18;Intel Xeon E5 (Haswell);SGI ICE X;SGI ICE;Infiniband;Infiniband FDR;North America;49 284;178524
134;;57;134;VEGA HPC GPU;BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, NVIDIA A100, Infiniband HDR;IZUM;Atos;Slovenia;2021;Research;33 600;25 920;3 096,00;4 680,00;1 152 000;;77,55;;;;;Cluster;AMD EPYC 7H12 64C 2.6GHz;AMD Zen-2 (Rome);2 600;Linux;Linux;NVIDIA A100;64;AMD Rome;BullSequana XH2000;BullSequana;Infiniband;Infiniband HDR;Europe;50 864;179937
135;103;54;75;;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;76 000;;3 088,64;6 080,00;6 039 936;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179750
136;104;56;104;Alps;HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10;Swiss National Supercomputing Centre (CSCS);HPE;Switzerland;2020;Research;128 000;;3 088,60;4 608,00;5 108 800;;;637,95;Submitted;4,84;;MPP;AMD EPYC 7742 64C 2.25GHz;AMD Zen-2 (Rome);2 250;Cray OS;Linux;None;64;AMD Rome;HPE Cray EX;HPE Cray EX;Gigabit Ethernet;Slingshot-10;Europe;50 422;179900
137;105;55;87;Numerical Materials Simulator;HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Dual-rail Intel Omni-Path;National Institute for Materials Science;HPE;Japan;2020;Research;53 568;;3 082,12;4 971,11;3 805 824;;;691,20;Submitted;4,46;;Cluster;Xeon Platinum 8268 24C 2.9GHz;Intel Cascade lake;2 900;CentOS;Linux;None;24;Xeon Platinum 82xx (Cascade Lake);HPE SGI 8600;HPE SGI 8600;Omnipath;Dual-rail Intel Omni-Path;Asia;49 749;179847
138;106;55;88;Hera;Cray CS500, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR;NOAA Environmental Security Computer Center;Cray/HPE;United States;2019;Research;63 840;;3 080,85;4 884,48;4 012 032;;43,67;;;;;Cluster;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;CentOS;Linux;None;20;Xeon Gold;Cray CS500;Cray CS;Infiniband;Infiniband HDR;North America;50 371;179864
139;107;48;34;Camphor 2;Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ;Academic Center for Computing and Media Studies (ACCMS),  Kyoto University;Cray/HPE;Japan;2016;Academic;122 400;;3 057,35;5 483,52;4 579 680;;;748,10;Submitted;4,09;;MPP;Intel Xeon Phi 7250 68C 1.4GHz;Intel Xeon Phi;1 400;Cray Linux Environment ;Linux;None;68;Intel Xeon Phi;Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;Asia;50 516;178927
140;108;53;72;Jean Zay;HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path;CNRS/IDRIS-GENCI;HPE;France;2019;Academic;61 120;;3 054,35;4 867,20;5 598 720;;52,57;;;;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;RHEL 7.6;Linux;None;20;Xeon Gold 62xx (Cascade Lake);HPE SGI 8600;HPE SGI 8600;Omnipath;Intel Omni-Path;Europe;50 403;179699
141;109;45;56;Mistral;bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR;DKRZ - Deutsches Klimarechenzentrum;Atos;Germany;2015;Research;99 072;;3 010,68;3 962,88;4 437 696;;44,11;1 116,00;Submitted;2,70;;Cluster;Xeon E5-2680v3 12C 2.5GHz;Intel Haswell;2 500;Bullx Linux;Linux;None;12;Intel Xeon E5 (Haswell);bullx DLC 720;Bull Bullx;Infiniband;Infiniband FDR;Europe;47 642;178567
142;110;54;81;;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;73 600;;2 994,04;5 888,00;5 943 552;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179746
143;111;52;423;Tetralith;Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path;National Supercomputer Centre (NSC);ClusterVision / Hammer;Sweden;2018;Academic;64 512;;2 969,19;4 335,21;4 160 256;;65,24;;;;;Cluster;Xeon Gold 6130 16C 2.1GHz;Intel Skylake;2 100;CentOS;Linux;None;16;Xeon Gold;Intel H2204XXLRE;ClusterVision / Hammer Cluster;Omnipath;Intel Omni-Path;Europe;48 488;179576
144;112;54;83;;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;72 000;;2 931,84;5 760,00;5 878 656;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179749
145;;57;145;Jean;Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR;Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC);Liqid;United States;2020;Government;55 296;;2 917,56;4 069,79;3 852 672;;;;;;;Cluster;Intel Xeon Platinum 9242 48C 2.3GHz;Intel Cascade lake;2 300;CentOS;Linux;None;48;Xeon Platinum 92xx (Cascade Lake);Liqid Cluster;Liqid Cluster;Infiniband;Infiniband HDR;North America;50 423;179951
146;113;56;113;;Inspur TS10000 HPC Server, Xeon Gold 6248R 24C 3GHz, InfiniBand HDR 100;Central South University;Inspur;China;2020;Academic;49 056;;2 889,41;4 709,38;4 680 192;;;;;;;Cluster;Xeon Gold 6248R 24C 3GHz;Intel Cascade lake;3 000;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);Inspur TS10000 HPC Server;Inspur Cluster;Infiniband;InfiniBand HDR 100;Asia;50 841;179873
147;;57;147;;ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet;Service Provider K;Lenovo;China;2021;Industry;93 600;;2 873,41;6 289,92;5 878 656;;;;;;;Cluster;Xeon Gold 6230R 26C 2.1GHz;Intel Cascade lake;2 100;Linux;Linux;None;26;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 885;179916
148;114;56;114;;ThinkSystem SR650, Xeon Gold 6238 22C 2.1GHz, 10G Ethernet;Financial Services P;Lenovo;China;2020;Industry;94 160;;2 867,64;6 327,55;5 233 920;;;;;;;Cluster;Xeon Gold 6238 22C 2.1GHz;Intel Cascade lake;2 100;Linux;Linux;None;22;Xeon Gold 62xx (Cascade Lake);ThinkSystem SR650;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 855;179887
149;;57;149;Karolina, CPU partition;Apollo 2000, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR 100;IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava;HPE;Czechia;2021;Academic;92 160;;2 837,40;3 833,86;4 677 120;;47,97;502,70;Submitted;5,64;;Cluster;AMD EPYC 7H12 64C 2.6GHz;AMD Zen-2 (Rome);2 600;CentOS;Linux;None;64;AMD Rome;Apollo 2000;HP Apollo;Infiniband;InfiniBand HDR 100;Europe;50 561;179926
150;115;55;123;Freeman;Cray CS500, AMD EPYC 7542 32C 2.9GHz, Mellanox InfiniBand HDR100;ERDC DSRC;HPE;United States;2020;Research;79 104;;2 829,00;3 670,43;5 363 200;;;;;;;Cluster;AMD EPYC 7542 32C 2.9GHz;AMD Zen-2 (Rome);2 900;RHEL 7.7;Linux;None;32;AMD Rome;Cray CS500;Cray CS;Infiniband;Mellanox InfiniBand HDR100;North America;47 771;179843
151;116;45;21;SuperMUC Phase 2;NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14;Leibniz Rechenzentrum;Lenovo/IBM;Germany;2015;Academic;86 016;;2 813,62;3 578,27;4 423 680;;;1 480,83;Submitted;1,90;;Cluster;Xeon E5-2697v3 14C 2.6GHz;Intel Haswell;2 600;Linux;Linux;None;14;Intel Xeon E5 (Haswell);IBM NeXtScale nx360M5;NeXtScale;Infiniband;Infiniband FDR14;Europe;48 248;178544
152;117;47;30;;Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ;United Kingdom Meteorological Office;Cray/HPE;United Kingdom;2016;Research;89 856;;2 801,78;3 019,16;;;;1 347,84;Submitted;2,08;;MPP;Xeon E5-2695v4 18C 2.1GHz;Intel Broadwell;2 100;Cray Linux Environment ;Linux;None;18;Intel Xeon E5 (Broadwell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;Europe;49 064;178751
153;118;47;31;;Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ;United Kingdom Meteorological Office;Cray/HPE;United Kingdom;2016;Research;89 856;;2 801,78;3 019,16;;;;1 347,84;Submitted;2,08;;MPP;Xeon E5-2695v4 18C 2.1GHz;Intel Broadwell;2 100;Cray Linux Environment ;Linux;None;18;Intel Xeon E5 (Broadwell);Cray XC40;Cray XC;Custom Interconnect;Aries interconnect ;Europe;49 064;178752
154;119;51;61;JFRS-1;Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ;Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology;Cray/HPE;Japan;2018;Research;54 560;;2 787,14;4 190,21;5 412 096;;;697,51;Submitted;4,00;;MPP;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Cray Linux Environment ;Linux;None;20;Xeon Gold;Cray XC50;Cray XC;Custom Interconnect;Aries interconnect ;Asia;50 767;179417
155;120;54;91;;Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;68 000;;2 779,84;5 440,00;5 713 152;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179748
156;;57;156;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2021;Industry;72 960;;2 774,23;5 836,80;5 402 112;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179923
157;;57;157;Spartan3;BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Mellanox InfiniBand HDR100;Atos;Atos;France;2021;Vendor;92 160;;2 751,00;3 612,67;4 423 680;;;;;;;Cluster;AMD EPYC 7763 64C 2.45GHz;AMD Zen-3 (Milan);2 450;Linux;Linux;None;64;AMD Milan;BullSequana XH2000;BullSequana;Infiniband;Mellanox InfiniBand HDR100;Europe;50 630;179935
158;121;56;121;ZZ2;ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;67 200;;2 749,28;5 376,00;4 637 184;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179898
159;122;55;103;;ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet;Service Provider T;Lenovo;China;2019;Industry;66 400;;2 746,30;5 312,00;5 645 568;;;;;;;Cluster;Xeon Gold 6248 20C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;20;Xeon Gold 62xx (Cascade Lake);ThinkSystem SR650;Lenovo ThinkSystem;Gigabit Ethernet;25G Ethernet;Asia;50 329;179810
160;123;54;92;;ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR;Government;Lenovo;China;2019;Government;59 976;48 960;2 744,84;5 354,88;2 423 808;;;;;;;Cluster;Xeon Gold 6240 18C 2.6GHz;Intel Cascade lake;2 600;Linux;Linux;NVIDIA Tesla V100;18;Xeon Gold 62xx (Cascade Lake);ThinkSystem SR650;Lenovo ThinkSystem;Infiniband;Infiniband EDR;Asia;50 774;179742
161;;57;161;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2021;Industry;72 000;;2 742,91;5 760,00;5 366 400;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179922
162;124;53;82;VSC-4;ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path;Vienna Scientific Cluster;Lenovo;Austria;2019;Academic;37 920;;2 726,08;3 761,66;3 385 000;;;;;;;Cluster;Xeon Platinum 8174 24C 3.1GHz;Intel Skylake;3 100;SUSE Linux Enterprise Server 12 SP3;Linux;None;24;Xeon Platinum;ThinkSystem SD650;Lenovo ThinkSystem;Omnipath;Intel Omni-Path;Europe;50 345;179697
163;125;54;94;SNL/NNSA CTS-1 Attaway;Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path;Sandia National Laboratories;Penguin Computing;United States;2019;Research;52 920;;2 724,52;3 894,91;4 999 680;;38,80;750,00;Submitted;3,63;;Cluster;Xeon Gold 6140 18C 2.3GHz;Intel Skylake;2 300;Linux/TOSS;Linux;None;18;Xeon Gold;Tundra Extreme Scale;Penguin Computing Cluster;Omnipath;Intel Omni-Path;North America;48 748;179777
164;126;56;126;ZZ3;ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;66 400;;2 721,33;5 312,00;4 609 536;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179888
165;;57;165;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2021;Industry;71 040;;2 710,88;5 683,20;5 330 688;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179921
166;127;56;127;ZZ4;ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2020;Industry;65 600;;2 691,69;5 248,00;4 581 888;;;;;;;Cluster;Xeon Gold 6133 20C 2.5GHz;Intel Skylake;2 500;Linux;Linux;None;20;Xeon Gold;ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179889
167;;57;167;;ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet;Service Provider T;Lenovo;China;2021;Industry;70 080;;2 677,05;5 606,40;5 294 592;;;;;;;Cluster;Xeon Gold 6233 24C 2.5GHz;Intel Cascade lake;2 500;Linux;Linux;None;24;Xeon Gold 62xx (Cascade Lake);ThinkSystem HR650X;Lenovo ThinkSystem;Gigabit Ethernet;10G Ethernet;Asia;50 854;179920
168;128;55;107;Banting;Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ;Shared Services Canada;Cray/HPE;Canada;2019;Government;53 200;;2 676,74;4 085,76;2 799 744;;;;;;;MPP;Xeon Gold 6148 20C 2.4GHz;Intel Skylake;2 400;Cray Linux Environment ;Linux;None;20;Xeon Gold;Cray XC50;Cray XC;Custom Interconnect;Aries interconnect ;North America;50 719;179862
